@relation gene-weka.filters.unsupervised.attribute.Remove-R4

@attribute gene_id string
@attribute cond_id string
@attribute level {0,1}

@data
YAL003W,'YPD stationary phase 5 d ypd-1',0
YAL003W,'YPD stationary phase 7 d ypd-1',0
YAL003W,'aa starv 0.5 h',0
YAL003W,'constant 0.32 mM H2O2 (30 min) redo',0
YAL003W,'constant 0.32 mM H2O2 (40 min) rescan',0
YAL003W,'diauxic shift timecourse 18.5 h',0
YAL003W,'diauxic shift timecourse 20.5 h',0
YAL005C,'1.5 mM diamide (20 min)',1
YAL005C,'1.5 mM diamide (60 min)',1
YAL005C,'2.5mM DTT 180 min dtt-1',0
YPR190C,'heat shock 17 to 37, 20 minutes',0
YAL005C,'29C +1M sorbitol to 33C + *NO sorbitol - 15 minutes',1
YAL005C,'29C +1M sorbitol to 33C + 1M sorbitol - 15 minutes',1
YAL005C,'29C to 33C - 15 minutes',1
YAL005C,'29C to 33C - 5 minutes',1
YAL005C,'37C to 25C shock - 90 min',0
YAL005C,'DBY7286 + 0.3 mM H2O2 (20 min)',0
YAL005C,'DBYmsn2-4- 37degree heat - 20 min',1
YAL005C,'DBYyap1- + 0.3 mM H2O2 (20 min)',0
YAL005C,'Heat Shock 015 minutes hs-2',1
YAL005C,'Heat Shock 05 minutes hs-1',1
YAL005C,'Heat Shock 10 minutes hs-1',1
YAL005C,'Nitrogen Depletion 1 d',0
YAL005C,'Nitrogen Depletion 2 d',0
YAL005C,'Nitrogen Depletion 2 h',0
YAL005C,'Nitrogen Depletion 3 d',0
YAL005C,'aa starv 0.5 h',0
YAL005C,'glucose vs. reference pool car-1',1
YAL025C,'1.5 mM diamide (10 min)',0
YAL025C,'1.5 mM diamide (20 min)',0
YAL025C,'1.5 mM diamide (30 min)',0
YAL025C,'1.5 mM diamide (40 min)',0
YAL025C,'1M sorbitol - 15 min',0
YAL025C,'2.5mM DTT 120 min dtt-1',0
YAL025C,'2.5mM DTT 180 min dtt-1',0
YAL025C,'29C +1M sorbitol to 33C + *NO sorbitol - 30 minutes',1
YAL025C,'29C +1M sorbitol to 33C + 1M sorbitol - 5 minutes',0
YAL025C,'29C to 33C - 5 minutes',0
YAL025C,'37C to 25C shock - 15 min',1
YAL025C,'DBYmsn2/4 (real strain) + 0.32 mM H2O2 (20 min)',0
YAL025C,'DBYyap1 + 0.32 mM H2O2 (20 min)',0
YAL025C,'DBYyap1- + 0.3 mM H2O2 (20 min)',0
YAL025C,'Heat Shock 005 minutes hs-2',0
YAL025C,'Heat Shock 015 minutes hs-2',0
YAL025C,'Heat Shock 030inutes hs-2',0
YAL025C,'Heat Shock 05 minutes hs-1',0
YAL025C,'Heat Shock 10 minutes hs-1',0
YAL025C,'Heat Shock 15 minutes hs-1',0
YAL025C,'Heat Shock 20 minutes hs-1',0
YAL025C,'Heat Shock 40 minutes hs-1',0
YAL025C,'Nitrogen Depletion 1 d',0
YAL025C,'Nitrogen Depletion 1 h',0
YAL025C,'Nitrogen Depletion 30 min.',0
YAL025C,'YPD 1 d ypd-2',0
YAL025C,'YPD 10 h ypd-2',0
YAL025C,'YPD 12 h ypd-2',0
YAL025C,'YPD 2 d ypd-2',0
YAL025C,'YPD 3 d ypd-2',0
YAL025C,'YPD 5 d ypd-2',0
YAL025C,'YPD 6 h ypd-2',0
YAL025C,'YPD 8 h ypd-2',0
YAL025C,'YPD stationary phase 1 d ypd-1',0
YAL025C,'YPD stationary phase 12 h ypd-1',0
YAL025C,'YPD stationary phase 13 d ypd-1',0
YAL025C,'YPD stationary phase 28 d ypd-1',0
YAL025C,'YPD stationary phase 8 h ypd-1',0
YAL025C,'aa starv 0.5 h',0
YAL025C,'constant 0.32 mM H2O2 (40 min) rescan',0
YAL025C,'diauxic shift timecourse 18.5 h',0
YAL025C,'diauxic shift timecourse 20.5 h',0
YAL025C,'galactose vs. reference pool car-1',0
YAL025C,'heat shock 17 to 37, 20 minutes',0
YAL025C,'heat shock 25 to 37, 20 minutes',0
YAL025C,'heat shock 29 to 37, 20 minutes',0
YAL035W,'1 mM Menadione (10 min)redo',0
YAL035W,'2.5mM DTT 180 min dtt-1',0
YAL035W,'37C to 25C shock - 30 min',1
YAL035W,'37C to 25C shock - 45 min',1
YAL035W,'37C to 25C shock - 60 min',1
YAL035W,'DBYyap1- + 0.3 mM H2O2 (20 min)',0
YAL035W,'Nitrogen Depletion 1 d',0
YAL035W,'Nitrogen Depletion 12 h',0
YAL035W,'Nitrogen Depletion 2 d',0
YAL035W,'Nitrogen Depletion 3 d',0
YAL035W,'Nitrogen Depletion 30 min.',0
YAL035W,'Nitrogen Depletion 5 d',0
YAL035W,'Nitrogen Depletion 8 h',0
YAL035W,'YPD 1 d ypd-2',0
YAL035W,'YPD 10 h ypd-2',0
YAL035W,'YPD 12 h ypd-2',0
YAL035W,'YPD 2 d ypd-2',0
YAL035W,'YPD 3 d ypd-2',0
YAL035W,'YPD 5 d ypd-2',0
YAL035W,'YPD 6 h ypd-2',0
YAL035W,'YPD 8 h ypd-2',0
YAL035W,'YPD stationary phase 1 d ypd-1',0
YAL035W,'YPD stationary phase 12 h ypd-1',0
YAL035W,'YPD stationary phase 13 d ypd-1',0
YAL035W,'YPD stationary phase 2 d ypd-1',0
YAL035W,'YPD stationary phase 22 d ypd-1',0
YAL035W,'YPD stationary phase 28 d ypd-1',0
YAL035W,'YPD stationary phase 3 d ypd-1',0
YAL035W,'YPD stationary phase 5 d ypd-1',0
YAL035W,'YPD stationary phase 7 d ypd-1',0
YAL035W,'diauxic shift timecourse 20.5 h',0
YAL035W,'heat shock 17 to 37, 20 minutes',0
YAL035W,'heat shock 25 to 37, 20 minutes',0
YAL036C,'1 mM Menadione (120 min)redo',0
YAL036C,'2.5mM DTT 090 min dtt-1',0
YAL036C,'2.5mM DTT 120 min dtt-1',0
YAL036C,'2.5mM DTT 180 min dtt-1',0
YAL036C,'DBYyap1- + 0.3 mM H2O2 (20 min)',0
YAL036C,'Heat Shock 015 minutes hs-2',0
YAL036C,'Heat Shock 10 minutes hs-1',0
YAL036C,'Heat Shock 15 minutes hs-1',0
YAL036C,'Heat Shock 20 minutes hs-1',0
YAL036C,'Heat Shock 30 minutes hs-1',0
YAL036C,'Nitrogen Depletion 2 d',0
YAL036C,'Nitrogen Depletion 8 h',0
YAL036C,'YPD 1 d ypd-2',0
YAL036C,'YPD 10 h ypd-2',0
YAL036C,'YPD 2 d ypd-2',0
YAL036C,'YPD 3 d ypd-2',0
YAL036C,'YPD 5 d ypd-2',0
YAL036C,'YPD 6 h ypd-2',0
YAL036C,'YPD 8 h ypd-2',0
YAL036C,'YPD stationary phase 1 d ypd-1',0
YAL036C,'YPD stationary phase 12 h ypd-1',0
YAL036C,'YPD stationary phase 13 d ypd-1',0
YAL036C,'YPD stationary phase 2 d ypd-1',0
YAL036C,'YPD stationary phase 22 d ypd-1',0
YAL036C,'YPD stationary phase 28 d ypd-1',0
YAL036C,'YPD stationary phase 3 d ypd-1',0
YAL036C,'YPD stationary phase 5 d ypd-1',0
YAL036C,'YPD stationary phase 7 d ypd-1',0
YAL036C,'aa starv 0.5 h',0
YAL036C,'constant 0.32 mM H2O2 (20 min) redo',0
YAL036C,'constant 0.32 mM H2O2 (30 min) redo',0
YAL036C,'constant 0.32 mM H2O2 (40 min) rescan',0
YAL036C,'diauxic shift timecourse 18.5 h',0
YAL036C,'diauxic shift timecourse 20.5 h',0
YAL036C,'heat shock 17 to 37, 20 minutes',0
YAL036C,'heat shock 21 to 37, 20 minutes',0
YAL036C,'heat shock 25 to 37, 20 minutes',0
YAL036C,'heat shock 29 to 37, 20 minutes',0
YAL038W,'Nitrogen Depletion 1 d',0
YAL038W,'Nitrogen Depletion 2 d',0
YAL038W,'Nitrogen Depletion 3 d',0
YAL038W,'Nitrogen Depletion 5 d',0
YAL038W,'Nitrogen Depletion 8 h',0
YAL038W,'YP ethanol vs reference pool car-2',0
YAL038W,'YPD 10 h ypd-2',0
YAL038W,'YPD 3 d ypd-2',0
YAL038W,'YPD 5 d ypd-2',0
YAL038W,'YPD 6 h ypd-2',0
YAL038W,'YPD 8 h ypd-2',0
YAL038W,'YPD stationary phase 12 h ypd-1',0
YAL038W,'YPD stationary phase 13 d ypd-1',0
YAL038W,'YPD stationary phase 22 d ypd-1',0
YAL038W,'YPD stationary phase 28 d ypd-1',0
YAL038W,'YPD stationary phase 5 d ypd-1',0
YAL038W,'YPD stationary phase 7 d ypd-1',0
YAL038W,'diauxic shift timecourse 18.5 h',0
YAL038W,'diauxic shift timecourse 20.5 h',0
YAL038W,'ethanol vs. reference pool car-1',0
YAL038W,'glucose vs. reference pool car-1',1
YAL054C,'29C +1M sorbitol to 33C + *NO sorbitol - 5 minutes',1
YAL054C,'29C to 33C - 15 minutes',1
YAL054C,'37C to 25C shock - 30 min',0
YAL054C,'37C to 25C shock - 90 min',0
YAL054C,'Nitrogen Depletion 1 d',1
YAL054C,'Nitrogen Depletion 2 d',1
YAL054C,'Nitrogen Depletion 3 d',1
YAL054C,'Nitrogen Depletion 5 d',1
YAL054C,'YP raffinose vs reference pool car-2',0
YAL054C,'YPD 1 d ypd-2',1
YAL054C,'YPD 10 h ypd-2',1
YAL054C,'YPD 12 h ypd-2',1
YAL054C,'YPD 2 d ypd-2',1
YAL054C,'YPD 3 d ypd-2',1
YAL054C,'YPD 5 d ypd-2',1
YAL054C,'YPD 6 h ypd-2',1
YAL054C,'YPD 8 h ypd-2',1
YAL054C,'YPD stationary phase 1 d ypd-1',1
YAL054C,'YPD stationary phase 12 h ypd-1',1
YAL054C,'YPD stationary phase 13 d ypd-1',1
YAL054C,'YPD stationary phase 2 d ypd-1',1
YAL054C,'YPD stationary phase 22 d ypd-1',1
YAL054C,'YPD stationary phase 28 d ypd-1',1
YAL054C,'YPD stationary phase 3 d ypd-1',1
YAL054C,'YPD stationary phase 5 d ypd-1',1
YAL054C,'YPD stationary phase 7 d ypd-1',1
YAL054C,'diauxic shift timecourse 18.5 h',1
YAL054C,'diauxic shift timecourse 20.5 h',1
YAL054C,'ethanol vs. reference pool car-1',1
YAL054C,'heat shock 17 to 37, 20 minutes',1
YAL054C,'mannose vs. reference pool car-1',0
YAL058C-A,'2.5mM DTT 120 min dtt-1',1
YAL058C-A,'29C +1M sorbitol to 33C + *NO sorbitol - 15 minutes',0
YAL058C-A,'29C +1M sorbitol to 33C + *NO sorbitol - 30 minutes',0
YAL058C-A,'29C to 33C - 30 minutes',0
YAL058C-A,'37C to 25C shock - 60 min',0
YAL058C-A,'DBY7286 + 0.3 mM H2O2 (20 min)',0
YAL058C-A,'DBYmsn2msn4 (good strain) + 0.32 mM H2O2',1
YAL058C-A,'DBYyap1 + 0.32 mM H2O2 (20 min)',1
YAL058C-A,'DBYyap1- + 0.3 mM H2O2 (20 min)',0
YAL058C-A,'Heat Shock 015 minutes hs-2',1
YAL058C-A,'Heat Shock 030inutes hs-2',1
YAL058C-A,'Hypo-osmotic shock - 60 min',1
YAL058C-A,'Msn2 overexpression (repeat)',1
YAL058C-A,'YP glucose vs reference pool car-2',1
YAL058C-A,'YP mannose vs reference pool car-2',1
YAL058C-A,'YPD 1 d ypd-2',1
YAL058C-A,'YPD 2 d ypd-2',1
YAL058C-A,'YPD 3 d ypd-2',1
YAL058C-A,'YPD 4 h ypd-2',0
YAL058C-A,'YPD 5 d ypd-2',1
YAL058C-A,'YPD 8 h ypd-2',0
YAL058C-A,'heat shock 33 to 37, 20 minutes',1
YAL058C-A,'steady state 17 dec C ct-2',1
YAL059W,'1.5 mM diamide (20 min)',0
YAL059W,'1.5 mM diamide (30 min)',0
YAL059W,'1.5 mM diamide (50 min)',0
YAL059W,'2.5mM DTT 180 min dtt-1',0
YAL059W,'29C to 33C - 5 minutes',0
YAL059W,'37C to 25C shock - 15 min',1
YAL059W,'37C to 25C shock - 30 min',1
YAL059W,'37C to 25C shock - 45 min',1
YAL059W,'DBYmsn2/4 (real strain) + 0.32 mM H2O2 (20 min)',0
YAL059W,'DBYmsn2msn4 (good strain) + 0.32 mM H2O2',0
YAL059W,'DBYyap1 + 0.32 mM H2O2 (20 min)',0
YAL059W,'DBYyap1- + 0.3 mM H2O2 (20 min)',0
YAL059W,'Heat Shock 05 minutes hs-1',0
YAL059W,'Heat Shock 10 minutes hs-1',0
YAL059W,'Heat Shock 20 minutes hs-1',0
YAL059W,'Heat Shock 30 minutes hs-1',0
YAL059W,'Heat Shock 40 minutes hs-1',0
YAL059W,'YP raffinose vs reference pool car-2',0
YAL059W,'YPD 10 h ypd-2',0
YAL059W,'YPD 2 d ypd-2',0
YAL059W,'YPD 3 d ypd-2',0
YAL059W,'YPD 5 d ypd-2',0
YAL059W,'YPD 6 h ypd-2',0
YAL059W,'YPD 8 h ypd-2',0
YAL059W,'aa starv 0.5 h',0
YAL059W,'diauxic shift timecourse 18.5 h',0
YAL059W,'diauxic shift timecourse 20.5 h',0
YAL059W,'dtt 120 min dtt-2',0
YAL059W,'dtt 240 min dtt-2',0
YAL059W,'heat shock 17 to 37, 20 minutes',0
YAL059W,'heat shock 21 to 37, 20 minutes',0
YAL059W,'heat shock 25 to 37, 20 minutes',0
YAL059W,'heat shock 29 to 37, 20 minutes',0
YAL059W,'heat shock 33 to 37, 20 minutes',0
YAL060W,'1.5 mM diamide (10 min)',1
YAL060W,'1.5 mM diamide (20 min)',1
YAL060W,'1.5 mM diamide (30 min)',1
YAL060W,'1.5 mM diamide (40 min)',1
YAL060W,'2.5mM DTT 005 min dtt-1',0
YAL060W,'29C +1M sorbitol to 33C + *NO sorbitol - 5 minutes',1
YAL060W,'29C +1M sorbitol to 33C + 1M sorbitol - 15 minutes',1
YAL060W,'29C to 33C - 15 minutes',1
YAL060W,'29C to 33C - 30 minutes',1
YAL060W,'29C to 33C - 5 minutes',1
YAL060W,'DBY7286 + 0.3 mM H2O2 (20 min)',1
YAL060W,'DBY7286 37degree heat - 20 min',1
YAL060W,'DBYyap1- + 0.3 mM H2O2 (20 min)',1
YAL060W,'DBYyap1- 37degree heat - 20 min (redo)',1
YAL060W,'Heat Shock 000 minutes hs-2',0
YAL060W,'Heat Shock 05 minutes hs-1',1
YAL060W,'Heat Shock 10 minutes hs-1',1
YAL060W,'Heat Shock 15 minutes hs-1',1
YAL060W,'Heat Shock 20 minutes hs-1',1
YAL060W,'Heat Shock 30 minutes hs-1',1
YAL060W,'Heat Shock 40 minutes hs-1',1
YAL060W,'Heat Shock 60 minutes hs-1',1
YAL060W,'Heat Shock 80 minutes hs-1',1
YAL060W,'Msn4 overexpression',1
YAL060W,'Nitrogen Depletion 2 h',1
YAL060W,'YPD 10 h ypd-2',1
YAL060W,'YPD 12 h ypd-2',1
YAL060W,'YPD 5 d ypd-2',1
YAL060W,'YPD 6 h ypd-2',1
YAL060W,'YPD 8 h ypd-2',1
YAL060W,'YPD stationary phase 13 d ypd-1',1
YAL060W,'YPD stationary phase 2 d ypd-1',1
YAL060W,'YPD stationary phase 28 d ypd-1',1
YAL060W,'YPD stationary phase 3 d ypd-1',1
YAL060W,'YPD stationary phase 5 d ypd-1',1
YAL060W,'YPD stationary phase 7 d ypd-1',1
YAL060W,'aa starv 0.5 h',1
YAL060W,'constant 0.32 mM H2O2 (100 min) redo',1
YAL060W,'constant 0.32 mM H2O2 (60 min) redo',1
YAL060W,'diauxic shift timecourse 18.5 h',1
YAL060W,'diauxic shift timecourse 20.5 h',1
YAL060W,'heat shock 17 to 37, 20 minutes',1
YAL060W,'heat shock 21 to 37, 20 minutes',1
YAL060W,'heat shock 25 to 37, 20 minutes',1
YAL060W,'heat shock 29 to 37, 20 minutes',1
YAL060W,'heat shock 33 to 37, 20 minutes',1
YAL061W,'1.5 mM diamide (10 min)',1
YAL061W,'1.5 mM diamide (20 min)',1
YAL061W,'1.5 mM diamide (30 min)',1
YAL061W,'2.5mM DTT 015 min dtt-1',0
YAL061W,'2.5mM DTT 045 min dtt-1',0
YAL061W,'29C +1M sorbitol to 33C + *NO sorbitol - 5 minutes',1
YAL061W,'29C +1M sorbitol to 33C + 1M sorbitol - 15 minutes',1
YAL061W,'29C +1M sorbitol to 33C + 1M sorbitol - 5 minutes',1
YAL061W,'29C to 33C - 15 minutes',1
YAL061W,'DBY7286 + 0.3 mM H2O2 (20 min)',1
YAL061W,'Heat Shock 000 minutes hs-2',0
YAL061W,'Heat Shock 015 minutes hs-2',1
YAL061W,'Heat Shock 05 minutes hs-1',1
YAL061W,'Heat Shock 060 minutes hs-2',0
YAL061W,'Heat Shock 10 minutes hs-1',1
YAL061W,'Heat Shock 15 minutes hs-1',1
YAL061W,'Heat Shock 20 minutes hs-1',1
YAL061W,'Heat Shock 30 minutes hs-1',1
YAL061W,'Heat Shock 40 minutes hs-1',1
YAL061W,'Nitrogen Depletion 1 d',1
YAL061W,'Nitrogen Depletion 12 h',1
YAL061W,'Nitrogen Depletion 2 d',1
YAL061W,'Nitrogen Depletion 3 d',1
YAL061W,'Nitrogen Depletion 8 h',1
YAL061W,'YP raffinose vs reference pool car-2',0
YAL061W,'YPD 10 h ypd-2',1
YAL061W,'YPD 12 h ypd-2',1
YAL061W,'YPD 2 d ypd-2',1
YAL061W,'YPD 3 d ypd-2',1
YAL061W,'YPD 5 d ypd-2',1
YAL061W,'YPD 6 h ypd-2',1
YAL061W,'YPD 8 h ypd-2',1
YAL061W,'YPD stationary phase 1 d ypd-1',1
YAL061W,'YPD stationary phase 13 d ypd-1',1
YAL061W,'YPD stationary phase 2 d ypd-1',1
YAL061W,'YPD stationary phase 22 d ypd-1',1
YAL061W,'YPD stationary phase 28 d ypd-1',1
YAL061W,'YPD stationary phase 3 d ypd-1',1
YAL061W,'YPD stationary phase 5 d ypd-1',1
YAL061W,'YPD stationary phase 7 d ypd-1',1
YAL061W,'aa starv 0.5 h',1
YAL061W,'diauxic shift timecourse 18.5 h',1
YAL061W,'dtt 240 min dtt-2',1
YAL061W,'ethanol vs. reference pool car-1',1
YAL061W,'heat shock 17 to 37, 20 minutes',1
YAL061W,'heat shock 21 to 37, 20 minutes',1
YAL061W,'heat shock 25 to 37, 20 minutes',1
YAL061W,'heat shock 29 to 37, 20 minutes',1
YAL061W,'heat shock 33 to 37, 20 minutes',1
YAL061W,'steady-state 1M sorbitol',0
YAR015W,'1 mM Menadione (120 min)redo',1
YAR015W,'1.5 mM diamide (20 min)',0
YAR015W,'1.5 mM diamide (30 min)',0
YAR015W,'1.5 mM diamide (50 min)',0
YAR015W,'2.5mM DTT 030 min dtt-1',0
YAR015W,'2.5mM DTT 180 min dtt-1',1
YAR015W,'29 deg growth ct-1',0
YAR015W,'29C to 33C - 15 minutes',0
YAR015W,'37C to 25C shock - 30 min',0
YAR015W,'37C to 25C shock - 60 min',1
YAR015W,'DBY7286 + 0.3 mM H2O2 (20 min)',0
YAR015W,'DBYmsn2/4 (real strain) + 37degrees (20 min)',1
YAR015W,'DBYyap1- + 0.3 mM H2O2 (20 min)',0
YAR015W,'Heat Shock 20 minutes hs-1',0
YAR015W,'Nitrogen Depletion 1 h',1
YAR015W,'Nitrogen Depletion 2 h',1
YAR015W,'Nitrogen Depletion 30 min.',1
YAR015W,'Nitrogen Depletion 4 h',1
YAR015W,'YPD 2 d ypd-2',0
YAR015W,'YPD 3 d ypd-2',0
YAR015W,'YPD 5 d ypd-2',0
YAR015W,'YPD 6 h ypd-2',0
YAR015W,'YPD 8 h ypd-2',0
YAR015W,'YPD stationary phase 22 d ypd-1',1
YAR027W,'29C to 33C - 5 minutes',1
YAR027W,'37C to 25C shock - 15 min',0
YAR027W,'DBY7286 + 0.3 mM H2O2 (20 min)',1
YAR027W,'DBYmsn2/4 (real strain) + 0.32 mM H2O2 (20 min)',1
YAR027W,'DBYyap1 + 0.32 mM H2O2 (20 min)',1
YAR027W,'DBYyap1- + 0.3 mM H2O2 (20 min)',1
YAR027W,'Heat Shock 20 minutes hs-1',1
YAR027W,'YP raffinose vs reference pool car-2',0
YAR027W,'YPD 10 h ypd-2',1
YAR027W,'YPD 12 h ypd-2',1
YAR027W,'YPD 6 h ypd-2',1
YAR027W,'YPD 8 h ypd-2',1
YAR027W,'YPD stationary phase 12 h ypd-1',1
YAR027W,'constant 0.32 mM H2O2 (40 min) rescan',1
YAR027W,'diauxic shift timecourse 18.5 h',1
YAR027W,'heat shock 17 to 37, 20 minutes',1
YAR027W,'heat shock 21 to 37, 20 minutes',1
YAR027W,'heat shock 25 to 37, 20 minutes',1
YAR027W,'heat shock 29 to 37, 20 minutes',1
YAR071W,'1.5 mM diamide (20 min)',0
YAR071W,'1.5 mM diamide (30 min)',0
YAR071W,'1.5 mM diamide (40 min)',0
YAR071W,'1.5 mM diamide (90 min)',0
YAR071W,'17 deg growth ct-1',1
YAR071W,'1M sorbitol - 30 min',0
YAR071W,'2.5mM DTT 045 min dtt-1',0
YAR071W,'2.5mM DTT 060 min dtt-1',0
YAR071W,'2.5mM DTT 120 min dtt-1',0
YAR071W,'2.5mM DTT 180 min dtt-1',0
YAR071W,'21 deg growth ct-1',1
YAR071W,'25 deg growth ct-1',1
YAR071W,'29 deg growth ct-1',1
YAR071W,'29C +1M sorbitol to 33C + *NO sorbitol - 30 minutes',1
YAR071W,'37C to 25C shock - 15 min',1
YAR071W,'37C to 25C shock - 90 min',1
YAR071W,'DBY7286 + 0.3 mM H2O2 (20 min)',0
YAR071W,'DBYmsn2-4- 37degree heat - 20 min',0
YAR071W,'DBYmsn2/4 (real strain) + 0.32 mM H2O2 (20 min)',0
YAR071W,'DBYmsn2msn4 (good strain) + 0.32 mM H2O2',0
YAR071W,'DBYyap1- + 0.3 mM H2O2 (20 min)',0
YAR071W,'Heat Shock 000 minutes hs-2',1
YAR071W,'Heat Shock 015 minutes hs-2',0
YAR071W,'Heat Shock 030inutes hs-2',0
YAR071W,'Heat Shock 10 minutes hs-1',0
YAR071W,'Heat Shock 15 minutes hs-1',0
YAR071W,'Heat Shock 20 minutes hs-1',0
YAR071W,'Heat Shock 30 minutes hs-1',0
YAR071W,'Hypo-osmotic shock - 30 min',1
YAR071W,'Nitrogen Depletion 1 d',0
YAR071W,'Nitrogen Depletion 1 h',0
YAR071W,'Nitrogen Depletion 2 d',0
YAR071W,'Nitrogen Depletion 2 h',0
YAR071W,'Nitrogen Depletion 30 min.',0
YAR071W,'Nitrogen Depletion 4 h',0
YAR071W,'Nitrogen Depletion 5 d',0
YAR071W,'Nitrogen Depletion 8 h',0
YAR071W,'YP ethanol vs reference pool car-2',0
YAR071W,'YP galactose vs reference pool car-2',0
YAR071W,'YP sucrose vs reference pool car-2',1
YAR071W,'YPD 3 d ypd-2',0
YAR071W,'YPD 5 d ypd-2',0
YAR071W,'YPD 6 h ypd-2',0
YAR071W,'YPD 8 h ypd-2',0
YAR071W,'YPD stationary phase 12 h ypd-1',0
YAR071W,'YPD stationary phase 13 d ypd-1',0
YAR071W,'YPD stationary phase 22 d ypd-1',0
YAR071W,'YPD stationary phase 28 d ypd-1',0
YAR071W,'YPD stationary phase 3 d ypd-1',0
YAR071W,'YPD stationary phase 5 d ypd-1',0
YAR071W,'YPD stationary phase 7 d ypd-1',0
YAR071W,'aa starv 0.5 h',0
YAR071W,'aa starv 1 h',0
YAR071W,'aa starv 4 h',0
YAR071W,'constant 0.32 mM H2O2 (10 min) redo',0
YAR071W,'constant 0.32 mM H2O2 (20 min) redo',0
YAR071W,'constant 0.32 mM H2O2 (30 min) redo',0
YAR071W,'constant 0.32 mM H2O2 (40 min) rescan',0
YAR071W,'diauxic shift timecourse 15.5 h',0
YAR071W,'diauxic shift timecourse 18.5 h',0
YAR071W,'diauxic shift timecourse 20.5 h',0
YAR071W,'dtt 015 min dtt-2',1
YAR071W,'dtt 120 min dtt-2',0
YAR071W,'dtt 240 min dtt-2',0
YAR071W,'ethanol vs. reference pool car-1',0
YAR071W,'glucose vs. reference pool car-1',1
YAR071W,'heat shock 17 to 37, 20 minutes',0
YAR071W,'heat shock 21 to 37, 20 minutes',0
YAR071W,'heat shock 25 to 37, 20 minutes',0
