@relation substances_labels-weka.filters.unsupervised.attribute.Discretize-D-F-B2-M-1.0-R2-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R20-56

@attribute id numeric
@attribute chemicalFeature_0 numeric
@attribute chemicalFeature_1 numeric
@attribute chemicalFeature_2 numeric
@attribute chemicalFeature_3 numeric
@attribute chemicalFeature_4 numeric
@attribute chemicalFeature_5 numeric
@attribute chemicalFeature_6 numeric
@attribute chemicalFeature_7 numeric
@attribute chemicalFeature_8 numeric
@attribute chemicalFeature_9 numeric
@attribute chemicalFeature_10 numeric
@attribute chemicalFeature_11 numeric
@attribute chemicalFeature_12 numeric
@attribute chemicalFeature_13 numeric
@attribute chemicalFeature_14 numeric
@attribute chemicalFeature_15 numeric
@attribute chemicalFeature_16 numeric
@attribute chemicalFeature_17 numeric

@data
721609,0.025432,0.031584,0.09923,0.088238,0.058485,0.043112,0.025432,0.087809,0.099326,0.088238,0.062507,0.043487,0.303709,0.290913,0.114573,0.272732,0.337584,0.25582
611264,0.056829,0.050006,0.061837,0.138141,0.048086,0.033719,0.065944,0.059788,0.061956,0.138141,0.085113,0.042115,0.578436,0.34616,0.155175,0.640453,0.336071,0.175446
703982,0.075772,0.113926,0.03366,0.116756,0.047534,0.04479,0.075772,0.115734,0.039576,0.143649,0.074086,0.054807,0.43334,0.439031,0.169233,0.466673,0.468756,0.238539
631970,0.034102,0.046673,0.061658,0.127323,0.055564,0.037987,0.035726,0.082358,0.061717,0.136366,0.056613,0.038474,0.32744,0.205615,0.139944,0.376547,0.461544,0.308518
51524,0.04168,0.026324,0.024109,0.057695,0.046156,0.049514,0.050515,0.035978,0.024132,0.061492,0.051556,0.053774,0.294126,0.126593,0.063639,0.319454,0.230778,0.2206
640963,0.078139,0.050635,0.014607,0.076926,0.022816,0.093778,0.08861,0.052443,0.014635,0.076926,0.103459,0.102812,0.333349,0.2206,0.088331,0.385723,0.376631,0.262307
670270,0.060252,0.134975,0.054914,0.104766,0.039078,0.037987,0.060987,0.136697,0.054967,0.16059,0.053202,0.04707,0.468756,0.494259,0.191492,0.484541,0.350883,0.192315
658798,0.04001,0.042864,0.04502,0.101855,0.082652,0.071436,0.056351,0.086421,0.045063,0.101855,0.087288,0.076937,0.312507,0.293656,0.120947,0.419361,0.410006,0.333341
634473,0.035978,0.17177,0.074424,0.085189,0.038967,0.021436,0.043485,0.173471,0.101254,0.132189,0.053835,0.027404,0.363018,0.510419,0.356289,0.405231,0.354434,0.2381
625300,0.055569,0.044256,0.021134,0.10286,0.042067,0.070009,0.093044,0.058401,0.021155,0.107747,0.072926,0.076097,0.342475,0.343293,0.113927,0.507254,0.486849,0.312511
83110,0.039758,0.038844,0.021527,0.02581,0.038912,0.090919,0.048402,0.043401,0.021612,0.02581,0.095754,0.113935,0.461552,0.169819,0.042816,0.177226,0.333352,0.392879
688891,0.034972,0.149008,0.051073,0.042109,0.031453,0.02084,0.04226,0.149255,0.093662,0.088071,0.0467,0.026673,0.353118,0.637616,0.352073,0.3787,0.379124,0.329272
719381,0.047173,0.034422,0.014559,0.023535,0.017376,0.032289,0.068976,0.034485,0.016619,0.026329,0.065425,0.033366,0.375026,0.234577,0.047025,0.102576,0.322602,0.271439
718809,0.045469,0.073363,0.048592,0.079426,0.076047,0.049196,0.049196,0.075004,0.048734,0.088238,0.111123,0.067812,0.243599,0.300006,0.093844,0.157415,0.28572,0.280497
656280,0.037049,0.096558,0.057916,0.044847,0.052066,0.037512,0.037049,0.100597,0.05814,0.147964,0.06384,0.046523,0.561803,0.504278,0.247621,0.542558,0.64894,0.116079
701000,0.014396,0.011055,0.055699,0.047875,0.037601,0.028581,0.018191,0.060611,0.09804,0.047875,0.037981,0.03615,0.161297,0.162796,0.112487,0.232677,0.285127,0.221318
699448,0.023541,0.03948,0.06244,0.083972,0.043803,0.012358,0.024703,0.045203,0.062562,0.092646,0.046305,0.034494,0.398154,0.282411,0.094975,0.373744,0.28572,0.169819
710573,0.030313,0.03615,0.069924,0.113926,0.047952,0.043021,0.031925,0.081527,0.069991,0.121624,0.057385,0.043489,0.513766,0.309097,0.124656,0.530617,0.255645,0.221246
649564,0.026329,0.100635,0.055287,0.032563,0.05119,0.014098,0.02668,0.104484,0.055448,0.103097,0.055563,0.038974,0.505888,0.411772,0.212701,0.522733,0.734943,0.106805
720624,0.037512,0.05334,0.063108,0.063403,0.076097,0.050645,0.037512,0.088241,0.063354,0.063403,0.087725,0.064947,0.556706,0.296301,0.101126,0.638559,0.283587,0.158886
710988,0.003188,0.001813,0.000976,0.002868,0.00197,0.011375,0.013527,0.001817,0.000977,0.003089,0.004789,0.011506,0.166806,0.018886,0.003178,0.016966,0.045498,0.20016
615589,0.047634,0.052246,0.050683,0.069912,0.064947,0.048402,0.047634,0.063297,0.050683,0.069912,0.090328,0.058837,0.38145,0.269671,0.090119,0.433742,0.240006,0.138307
166624,0.053202,0.120002,0.061756,0.059833,0.048867,0.053774,0.064526,0.121741,0.062381,0.109638,0.095247,0.060616,0.312506,0.400003,0.207103,0.258998,0.639179,0.66667
670166,0.060019,0.076089,0.03204,0.047877,0.041668,0.044466,0.061244,0.076227,0.032133,0.088465,0.084761,0.066687,0.373342,0.372555,0.126186,0.26745,0.265965,0.302334
655457,0.040826,0.028578,0.044202,0.026014,0.068709,0.055563,0.044324,0.058827,0.057731,0.026014,0.075006,0.061553,0.205138,0.14185,0.066219,0.354041,0.206113,0.222231
652538,0.028183,0.017708,0.028129,0.050005,0.036331,0.050515,0.047642,0.036503,0.028156,0.058445,0.052642,0.054955,0.357152,0.318192,0.077163,0.414641,0.447376,0.209321
667463,0.040836,0.032795,0.031039,0.047125,0.035582,0.06252,0.040836,0.047952,0.03116,0.119604,0.063507,0.06385,0.630775,0.5077,0.14286,0.454553,0.418611,0.166682
680837,0.05001,0.071676,0.049199,0.047952,0.025555,0.052642,0.052642,0.076926,0.054235,0.053898,0.075478,0.053202,0.4149,0.458338,0.195909,0.20181,0.632657,0.789476
706185,0.028666,0.016306,0.007852,0.016895,0.007799,0.089898,0.077934,0.016336,0.007852,0.016895,0.03318,0.090919,0.50005,0.148164,0.028575,0.101462,0.347854,0.363694
713694,0.045988,0.092111,0.050767,0.122026,0.086082,0.058835,0.05815,0.122098,0.050865,0.122026,0.118525,0.070599,0.355563,0.407697,0.176473,0.369375,0.440004,0.28156
667462,0.040019,0.032528,0.031009,0.04688,0.035516,0.061244,0.049394,0.047626,0.031129,0.119208,0.062515,0.06252,0.646159,0.500008,0.146034,0.467539,0.430239,0.163652
636373,0.081094,0.070184,0.030157,0.059465,0.045716,0.069789,0.119069,0.074277,0.030274,0.117453,0.105279,0.081651,0.645167,0.709096,0.130162,0.611946,0.421694,0.1892
645263,0.065589,0.080007,0.040316,0.107145,0.070436,0.053588,0.066682,0.087254,0.040316,0.115047,0.070478,0.064531,0.422229,0.289165,0.118184,0.448725,0.397856,0.246923
635905,0.039235,0.076089,0.033043,0.036847,0.039699,0.02176,0.040019,0.076227,0.033139,0.113963,0.069316,0.05771,0.68853,0.557384,0.133336,0.434218,0.54546,0.141037
603577,0.009527,0.005427,0.002945,0.003393,0.003924,0.033719,0.023833,0.005437,0.002957,0.003393,0.01429,0.04168,0.428653,0.055573,0.012702,0.067812,0.130473,0.500083
617384,0.032803,0.058827,0.03757,0.045459,0.025643,0.017875,0.033349,0.058827,0.04762,0.046432,0.072477,0.048402,0.31885,0.428577,0.112124,0.14286,0.304358,0.355563
673131,0.048553,0.063959,0.088436,0.070837,0.107151,0.049029,0.048553,0.121995,0.088781,0.0884,0.117125,0.058833,0.263164,0.250005,0.12097,0.197119,0.398738,0.252107
708417,0.043489,0.029858,0.043354,0.088474,0.053106,0.049595,0.050428,0.071435,0.043395,0.09483,0.067426,0.067812,0.229175,0.250009,0.097348,0.362644,0.330007,0.386675
659000,0.018188,0.019422,0.054634,0.048248,0.037742,0.036463,0.022066,0.067281,0.124511,0.049878,0.038049,0.038469,0.204231,0.18467,0.142858,0.314818,0.315178,0.197284
666299,0.020629,0.090911,0.070563,0.105445,0.049514,0.011375,0.021516,0.091067,0.080819,0.111632,0.063836,0.031925,0.645837,0.223221,0.127121,0.554353,0.311481,0.115948
683403,0.013777,0.035049,0.108021,0.077892,0.032261,0.013815,0.013777,0.06095,0.33721,0.091821,0.035043,0.016577,0.153441,0.471821,0.365028,0.342859,0.581819,0.108404
659754,0.08066,0.047018,0.024487,0.05173,0.040779,0.094348,0.082281,0.048826,0.024583,0.074077,0.093034,0.097572,0.390635,0.421063,0.085446,0.338038,0.316464,0.214314
708092,0.05619,0.139039,0.065511,0.10455,0.057701,0.033344,0.05619,0.140822,0.065765,0.124263,0.068102,0.041677,0.338848,0.388064,0.148151,0.416672,0.316552,0.170377
50188,0.020418,0.114585,0.061958,0.088893,0.046738,0.010649,0.021287,0.114784,0.065303,0.139079,0.052819,0.03001,0.451928,0.413538,0.285717,0.427278,0.443483,0.152784
618927,0.023,0.040275,0.059731,0.084618,0.044783,0.012833,0.024108,0.045982,0.059789,0.090413,0.046161,0.035726,0.409529,0.268522,0.092699,0.371141,0.282057,0.174765
716277,0.065802,0.070929,0.044147,0.108379,0.03957,0.04168,0.066679,0.078793,0.044189,0.170393,0.057482,0.051294,0.505624,0.430239,0.188274,0.522227,0.489801,0.206194
691896,0.063303,0.119219,0.0558,0.044847,0.031692,0.037512,0.063303,0.120998,0.057916,0.097565,0.06384,0.046523,0.351858,0.39683,0.194531,0.271936,0.347832,0.196588
638738,0.035035,0.019929,0.010722,0.018411,0.013674,0.04352,0.075961,0.019965,0.010733,0.028574,0.052636,0.045498,0.500036,0.163652,0.034924,0.114298,0.375026,0.214342
695806,0.074641,0.117542,0.045324,0.083338,0.051284,0.058837,0.090923,0.117755,0.045499,0.158579,0.142868,0.075772,0.62821,0.592237,0.179569,0.4149,0.415847,0.224145
695674,0.024008,0.035719,0.105723,0.089476,0.062152,0.040991,0.025484,0.079817,0.106135,0.089476,0.081087,0.049188,0.282764,0.286554,0.121112,0.331734,0.35656,0.190147
642284,0.029946,0.201758,0.11665,0.077184,0.032972,0.017863,0.029946,0.210788,0.122858,0.125004,0.054775,0.022994,0.343199,0.452057,0.296498,0.409233,0.357545,0.185934
637704,0.043492,0.097022,0.047344,0.047398,0.039857,0.044132,0.043492,0.101272,0.047528,0.145166,0.073182,0.054067,0.62821,0.565795,0.168714,0.4149,0.415847,0.130009
706829,0.054807,0.080889,0.044189,0.110557,0.037976,0.044132,0.055569,0.087506,0.044317,0.165361,0.060252,0.054067,0.47675,0.506335,0.17231,0.511369,0.375006,0.215062
671470,0.063303,0.076258,0.064643,0.077322,0.062617,0.071442,0.066679,0.076391,0.064898,0.082647,0.110177,0.072477,0.324333,0.326094,0.084748,0.247713,0.536591,0.530126
655249,0.017653,0.057526,0.084864,0.078725,0.042659,0.025006,0.018078,0.084988,0.141756,0.083148,0.051648,0.025163,0.227517,0.222415,0.155819,0.391114,0.266161,0.289313
691824,0.05103,0.079588,0.070396,0.06009,0.039863,0.053774,0.053774,0.085505,0.070669,0.063387,0.090328,0.054358,0.315225,0.265827,0.130558,0.137538,0.619569,0.764708
649417,0.05717,0.047103,0.020113,0.051185,0.026925,0.033366,0.058851,0.047189,0.023347,0.052331,0.093027,0.083359,0.300017,0.295094,0.062308,0.16251,0.371447,0.2152
681703,0.03848,0.04033,0.037976,0.091403,0.051041,0.058842,0.03848,0.08334,0.038124,0.112047,0.076937,0.063072,0.579716,0.463776,0.123842,0.402446,0.420461,0.270849
709097,0.023821,0.089291,0.054599,0.095242,0.04668,0.012671,0.024108,0.090915,0.054651,0.15518,0.054358,0.035305,0.360006,0.488378,0.200002,0.479172,0.369375,0.173085
712686,0.047774,0.027176,0.006824,0.013205,0.007709,0.080037,0.080018,0.027225,0.00685,0.013205,0.041865,0.08422,0.875008,0.15307,0.047622,0.138901,0.342123,0.269259
718703,0.044455,0.056256,0.051626,0.099552,0.045616,0.033344,0.05619,0.065222,0.051725,0.158539,0.057701,0.041677,0.490201,0.453129,0.240002,0.504859,0.504592,0.17392
707086,0.058842,0.084041,0.035958,0.051818,0.0412,0.060019,0.058842,0.085147,0.036099,0.127843,0.093764,0.071445,0.758068,0.578132,0.148737,0.493513,0.50603,0.158547
672121,0.028585,0.075765,0.052276,0.038466,0.05566,0.0154,0.029,0.076439,0.052327,0.112304,0.064115,0.042267,0.525006,0.461545,0.193653,0.600005,0.79221,0.125009
688894,0.040991,0.12542,0.052193,0.045458,0.036239,0.024398,0.049595,0.12563,0.084763,0.093658,0.048335,0.031015,0.318184,0.541286,0.317223,0.344413,0.36806,0.262825
669710,0.056829,0.123241,0.045065,0.052178,0.058262,0.033719,0.056829,0.125002,0.060462,0.111867,0.058721,0.042115,0.451928,0.468258,0.221887,0.252039,0.467746,0.256006
699801,0.075023,0.067031,0.032196,0.049186,0.048079,0.076947,0.075023,0.067152,0.032291,0.090398,0.095754,0.088909,0.420298,0.406259,0.117463,0.300009,0.313961,0.18311
685994,0.060987,0.084946,0.026512,0.030572,0.017273,0.021989,0.074086,0.084946,0.035952,0.052639,0.040414,0.032978,0.552088,0.670107,0.229816,0.223567,0.743906,0.53922
382050,0.041247,0.028784,0.058824,0.073109,0.059837,0.056008,0.046169,0.092528,0.059056,0.074262,0.065228,0.062515,0.300009,0.263744,0.083336,0.290007,0.276429,0.297627
656208,0.029426,0.060157,0.039768,0.102569,0.053805,0.01564,0.031265,0.063297,0.039845,0.168574,0.058831,0.042871,0.406984,0.430387,0.190479,0.867649,0.539331,0.202256
670004,0.054955,0.156758,0.043804,0.051506,0.045456,0.032619,0.054955,0.157041,0.057253,0.110741,0.056613,0.040826,0.580004,0.56667,0.212577,0.246038,0.412218,0.428577
690618,0.059716,0.056084,0.023393,0.056503,0.042473,0.088262,0.08574,0.056161,0.023484,0.072851,0.101134,0.096784,0.457158,0.416676,0.098104,0.375009,0.384623,0.219531
652765,0.043487,0.031853,0.064424,0.093844,0.062508,0.048204,0.045988,0.067802,0.064486,0.093844,0.072926,0.055951,0.213682,0.207214,0.103067,0.325846,0.41442,0.319595
650958,0.040013,0.034491,0.030215,0.054353,0.039926,0.073193,0.065238,0.049824,0.030334,0.064312,0.071438,0.074478,0.408459,0.333343,0.089234,0.457838,0.493513,0.187517
606397,0.008004,0.148441,0.121273,0.053194,0.019384,0.004086,0.008036,0.195124,0.183461,0.071432,0.039529,0.011956,0.604047,0.556316,0.602307,0.620179,0.320757,0.229252
77541,0.014008,0.033099,0.109092,0.098307,0.03279,0.014048,0.014008,0.059363,0.323755,0.098307,0.034656,0.016857,0.119794,0.560138,0.370453,0.26173,0.466894,0.128854
704214,0.015876,0.042669,0.106196,0.100168,0.035717,0.01608,0.01608,0.071797,0.285853,0.104131,0.037503,0.016132,0.146271,0.521202,0.306769,0.298885,0.514816,0.147913
634471,0.066863,0.061405,0.043286,0.057897,0.031252,0.074091,0.092609,0.061513,0.048973,0.066671,0.100844,0.092609,0.344273,0.2184,0.06977,0.142865,0.447376,0.405071
680836,0.031062,0.137823,0.056796,0.036793,0.029075,0.019115,0.031256,0.137823,0.104916,0.094206,0.045743,0.024546,0.383483,0.629958,0.382355,0.470397,0.389477,0.32759
643436,0.016198,0.042766,0.095429,0.057351,0.034726,0.021101,0.016465,0.073894,0.23002,0.063548,0.041829,0.021191,0.139348,0.283851,0.246394,0.174177,0.355192,0.169425
716490,0.008905,0.033081,0.097772,0.092384,0.023812,0.012235,0.009012,0.061277,0.302797,0.096285,0.028331,0.012273,0.136755,0.489797,0.331869,0.30435,0.568739,0.141107
627727,0.022836,0.115675,0.169202,0.144632,0.052636,0.02294,0.027527,0.131947,0.169525,0.155608,0.091273,0.027527,0.253337,0.392406,0.192018,0.397006,0.386366,0.133337
647577,0.042025,0.075681,0.083414,0.161706,0.060613,0.025008,0.050856,0.081344,0.083574,0.178275,0.093757,0.031754,0.523813,0.3758,0.199448,0.462814,0.293338,0.137937
630333,0.022564,0.055005,0.101487,0.082054,0.076928,0.038469,0.022564,0.106981,0.115647,0.082054,0.085721,0.046161,0.216565,0.259673,0.132518,0.187503,0.371955,0.229172
674268,0.014428,0.014656,0.064585,0.060313,0.019767,0.01508,0.014711,0.052502,0.182963,0.063397,0.021838,0.019161,0.091747,0.290157,0.21141,0.214536,0.369651,0.233506
685280,0.117664,0.084686,0.032979,0.056415,0.044862,0.056622,0.117664,0.086488,0.032979,0.114507,0.089566,0.067812,0.500007,0.386675,0.154577,0.340917,0.412507,0.32942
655468,0.089302,0.095843,0.031764,0.060611,0.027374,0.052648,0.089302,0.097651,0.031854,0.080295,0.08452,0.063507,0.597408,0.429912,0.145513,0.196086,0.596498,0.315797
714383,0.033349,0.064524,0.03161,0.107532,0.039035,0.0182,0.033915,0.06712,0.03164,0.13982,0.057985,0.036381,0.417729,0.600006,0.143753,0.5946,0.365598,0.22501
710297,0.034895,0.033477,0.015218,0.01924,0.009093,0.016966,0.035732,0.033477,0.024132,0.020207,0.029865,0.017258,0.791671,0.580252,0.149209,0.160962,0.579716,0.535218
649242,0.029592,0.09692,0.10023,0.074769,0.067421,0.029768,0.029592,0.11175,0.147003,0.074769,0.091959,0.03572,0.191923,0.250001,0.163176,0.265063,0.258377,0.228576
630122,0.018528,0.01334,0.037637,0.028331,0.047252,0.040554,0.025329,0.047623,0.068696,0.028331,0.049029,0.044452,0.241767,0.134234,0.07883,0.321216,0.19425,0.493677
676591,0.021101,0.160646,0.187085,0.059623,0.048784,0.021101,0.0249,0.207758,0.187085,0.088564,0.075004,0.021191,0.291081,0.366199,0.293429,0.300482,0.27778,0.322037
698230,0.047642,0.040183,0.019343,0.016222,0.016919,0.022244,0.048804,0.040183,0.0194,0.022233,0.05771,0.022749,0.565227,0.407415,0.097795,0.113017,0.420012,0.355272
645033,0.029426,0.021134,0.054582,0.052889,0.074388,0.04479,0.03001,0.060243,0.054795,0.059527,0.075012,0.055126,0.267334,0.236647,0.085963,0.28659,0.282264,0.188418
617576,0.048792,0.049188,0.032165,0.100003,0.043235,0.061244,0.075489,0.06165,0.032228,0.107846,0.076199,0.072744,0.317081,0.333342,0.113849,0.480526,0.618426,0.27028
671335,0.050864,0.039857,0.020429,0.05326,0.041178,0.068976,0.069844,0.04001,0.020449,0.06286,0.0723,0.075961,0.354849,0.407418,0.069623,0.323539,0.302641,0.260902
707843,0.011064,0.074749,0.264028,0.094423,0.023812,0.008832,0.011064,0.100395,0.378888,0.098971,0.030503,0.011089,0.264464,0.661692,0.39666,0.277956,0.408224,0.101772
625218,0.034499,0.063,0.04369,0.039806,0.038819,0.052648,0.034499,0.072854,0.043818,0.116672,0.055569,0.053588,0.513164,0.550731,0.135387,0.359558,0.393623,0.134841
715085,0.0138,0.109095,0.113028,0.073804,0.032686,0.00715,0.013896,0.112825,0.113136,0.1017,0.042073,0.020555,0.287586,0.294525,0.212368,0.292998,0.290913,0.113518
626778,0.019051,0.010852,0.005889,0.006217,0.003901,0.03848,0.025329,0.010871,0.005912,0.016397,0.018873,0.03848,0.307746,0.073182,0.022225,0.057156,0.125022,0.100013
679434,0.01291,0.228875,0.107182,0.071178,0.030681,0.006673,0.012993,0.229278,0.111112,0.096262,0.056544,0.019237,0.299437,0.432695,0.298594,0.426712,0.385097,0.248559
685684,0.037046,0.05326,0.094543,0.090913,0.052986,0.05103,0.038175,0.092594,0.094635,0.093139,0.079476,0.051556,0.241078,0.181109,0.109358,0.190248,0.333337,0.230776
716981,0.02532,0.014442,0.008764,0.016838,0.011721,0.066679,0.042574,0.014468,0.008773,0.016838,0.037919,0.074641,0.40004,0.125016,0.02524,0.115955,0.333361,0.454595
647710,0.011771,0.009439,0.05412,0.050111,0.01563,0.014606,0.014191,0.05605,0.128531,0.051983,0.017863,0.015005,0.136369,0.160282,0.14865,0.272731,0.261812,0.241385
678107,0.023,0.040275,0.059731,0.084618,0.044783,0.012833,0.024108,0.045982,0.059789,0.090413,0.046161,0.035726,0.409529,0.268522,0.092699,0.371141,0.282057,0.174765
617563,0.050016,0.053442,0.05289,0.051208,0.076192,0.087735,0.054955,0.076108,0.053098,0.051208,0.108116,0.094835,0.308834,0.2088,0.06286,0.219305,0.407413,0.283959
636128,0.037987,0.075349,0.058028,0.045253,0.039148,0.038474,0.045463,0.082358,0.058253,0.137759,0.065228,0.04763,0.538467,0.517653,0.16024,0.375006,0.378384,0.11819
657715,0.062512,0.100177,0.063054,0.075122,0.091934,0.066679,0.066679,0.100354,0.07004,0.095857,0.116289,0.06758,0.363643,0.323082,0.111431,0.248592,0.352005,0.22223
692655,0.066679,0.12793,0.0423,0.070098,0.039287,0.053346,0.066679,0.12816,0.047986,0.105266,0.103459,0.066679,0.494742,0.482763,0.182373,0.184881,0.320395,0.384621
690971,0.019427,0.053767,0.041402,0.037504,0.023811,0.010214,0.019617,0.053767,0.067438,0.040376,0.045054,0.028855,0.357149,0.750003,0.18551,0.286669,0.356527,0.592237
285682,0.06032,0.03436,0.013726,0.035509,0.011496,0.066698,0.132541,0.034422,0.013726,0.043481,0.076947,0.098375,0.583351,0.168325,0.063495,0.175687,0.414648,0.242436
342017,0.056351,0.038045,0.019475,0.041426,0.037257,0.040038,0.059535,0.038114,0.019494,0.060175,0.048204,0.050645,0.322592,0.396238,0.06667,0.294128,0.25975,0.192997
672342,0.015201,0.030229,0.104813,0.091551,0.029415,0.012124,0.015201,0.058255,0.305529,0.091551,0.032451,0.015247,0.135596,0.539405,0.345516,0.248064,0.474428,0.119406
720250,0.034494,0.031258,0.04804,0.058204,0.066047,0.061412,0.05174,0.074331,0.048229,0.061922,0.074086,0.096171,0.301598,0.268302,0.067058,0.242113,0.280714,0.289483
625120,0.016815,0.079101,0.096994,0.027136,0.039378,0.008781,0.016957,0.079212,0.097277,0.084392,0.041426,0.025008,0.335943,0.325209,0.187153,0.35115,0.484131,0.075349
633107,0.027979,0.047174,0.1139,0.100375,0.072375,0.028176,0.027979,0.07328,0.114011,0.121764,0.084854,0.035218,0.224247,0.353177,0.151517,0.440003,0.240004,0.175005
658493,0.063303,0.135381,0.048914,0.109528,0.04643,0.037512,0.076935,0.137186,0.05111,0.17956,0.06384,0.046523,0.695126,0.505753,0.209233,0.559145,0.425931,0.193555
617569,0.0723,0.065048,0.034081,0.108336,0.042992,0.05771,0.076941,0.069397,0.034147,0.114009,0.090923,0.068982,0.341184,0.337671,0.12308,0.481019,0.61539,0.25975
715528,0.089302,0.096781,0.040738,0.055281,0.048419,0.052648,0.093034,0.099639,0.040897,0.144478,0.08452,0.063507,0.757579,0.588241,0.163525,0.487811,0.466673,0.1591
715067,0.05815,0.055563,0.032568,0.10968,0.042832,0.055573,0.068982,0.066673,0.032599,0.10968,0.082577,0.066682,0.361453,0.312509,0.129233,0.487506,0.662342,0.253174
642025,0.023153,0.144994,0.161223,0.033522,0.025978,0.013829,0.027911,0.146489,0.184439,0.096004,0.077277,0.017942,0.457302,0.398716,0.460057,0.500002,0.286347,0.168036
677666,0.030126,0.116211,0.056226,0.038964,0.033155,0.01797,0.036369,0.116211,0.118597,0.085564,0.051564,0.023127,0.341739,0.719458,0.340784,0.493466,0.356439,0.342861
684385,0.046523,0.100006,0.048805,0.106486,0.040423,0.034895,0.046523,0.103453,0.048898,0.190479,0.060009,0.043489,0.525778,0.529416,0.220186,0.495055,0.367527,0.180188
627551,0.018886,0.034491,0.027002,0.05435,0.039613,0.023279,0.020428,0.035218,0.027028,0.058312,0.041247,0.038104,0.32942,0.116964,0.059883,0.272737,0.210535,0.178093
693994,0.06174,0.071796,0.06652,0.063499,0.039217,0.065802,0.065802,0.071919,0.069473,0.064819,0.093532,0.066679,0.350658,0.220005,0.074383,0.121217,0.760003,0.552385
690764,0.007411,0.023602,0.145958,0.047266,0.017671,0.011156,0.011156,0.0565,0.253907,0.070772,0.020274,0.018801,0.143986,0.292555,0.291154,0.428171,0.32082,0.142339
645302,0.026047,0.030773,0.162339,0.125003,0.024515,0.015878,0.026601,0.038736,0.164108,0.180619,0.036871,0.020518,0.352335,0.453573,0.19524,0.338312,0.315003,0.093462
657717,0.033344,0.030542,0.051608,0.057745,0.054554,0.050856,0.049196,0.057593,0.051658,0.061353,0.069778,0.090926,0.333343,0.258832,0.063403,0.248452,0.284489,0.311697
403186,0.017757,0.020665,0.076065,0.074563,0.027031,0.023815,0.017757,0.045805,0.153921,0.077805,0.030308,0.030126,0.170736,0.301272,0.177853,0.407897,0.288662,0.126989
718380,0.022629,0.163124,0.176409,0.065344,0.025428,0.013518,0.022629,0.16667,0.176528,0.089847,0.082035,0.017548,0.274465,0.512029,0.273811,0.355884,0.274681,0.146248
721075,0.037886,0.070712,0.106937,0.087456,0.085113,0.038175,0.045809,0.12207,0.107351,0.144583,0.085113,0.045809,0.361707,0.387882,0.205408,0.375004,0.41497,0.299275
666712,0.033344,0.063297,0.068666,0.115211,0.058262,0.033719,0.033344,0.071434,0.068933,0.124632,0.077471,0.042115,0.578436,0.412218,0.151865,0.622226,0.333339,0.107445
