@relation substances_labels-weka.filters.unsupervised.attribute.Discretize-D-F-B2-M-1.0-R2-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-19

@attribute id numeric
@attribute 786-0_1 {0,1}
@attribute A549/ATCC_1 {0,1}
@attribute ACHN_1 {0,1}
@attribute CCRF-CEM_1 {0,1}
@attribute COLO-205_1 {0,1}
@attribute EKVX_1 {0,1}
@attribute HCT-116_1 {0,1}
@attribute HCT-15_1 {0,1}
@attribute HOP-62_1 {0,1}
@attribute HT29_1 {0,1}
@attribute IGROV1_1 {0,1}
@attribute K-562_1 {0,1}
@attribute KM12_1 {0,1}
@attribute LOX-IMVI_1 {0,1}
@attribute M14_1 {0,1}
@attribute MALME-3M_1 {0,1}
@attribute MOLT-4_1 {0,1}
@attribute NCI-H23_1 {0,1}
@attribute OVCAR-3_1 {0,1}
@attribute OVCAR-4_1 {0,1}
@attribute OVCAR-5_1 {0,1}
@attribute OVCAR-8_1 {0,1}
@attribute SF-268_1 {0,1}
@attribute SF-295_1 {0,1}
@attribute SF-539_1 {0,1}
@attribute SK-MEL-28_1 {0,1}
@attribute SK-MEL-5_1 {0,1}
@attribute SK-OV-3_1 {0,1}
@attribute SN12C_1 {0,1}
@attribute SNB-19_1 {0,1}
@attribute SNB-75_1 {0,1}
@attribute SW-620_1 {0,1}
@attribute TK-10_1 {0,1}
@attribute U251_1 {0,1}
@attribute UACC-257_1 {0,1}
@attribute UACC-62_1 {0,1}
@attribute UO-31_1 {0,1}

@data
719381,0,0,?,?,?,?,1,?,?,1,?,1,?,?,0,?,1,?,?,?,?,?,0,1,?,0,0,?,?,0,?,1,?,?,?,1,0
718809,0,1,1,?,?,?,0,?,1,0,?,?,?,?,?,?,?,?,?,1,?,1,?,1,?,0,?,?,?,1,?,0,?,?,?,1,0
656280,1,0,1,?,?,?,1,?,0,1,?,1,1,?,1,1,1,?,?,1,?,1,1,0,?,1,1,?,?,1,?,1,?,?,?,1,1
701000,?,?,?,?,?,1,?,1,?,?,1,?,?,0,?,?,?,1,1,?,1,?,?,?,1,?,?,1,1,?,1,?,1,1,1,?,?
699448,1,1,1,?,?,?,1,?,1,1,?,1,1,?,1,1,1,?,?,1,?,0,1,1,?,1,1,?,?,1,?,1,?,?,?,1,1
710573,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,1,?,0,0,?,?,?
649564,?,?,?,?,0,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?
720624,?,?,?,0,1,1,?,1,?,?,1,?,?,?,?,?,?,1,0,?,0,?,?,?,0,?,?,1,0,?,?,?,0,0,1,?,?
710988,?,?,?,?,?,?,?,?,?,?,?,0,0,?,?,0,1,?,?,1,?,?,?,?,?,0,?,?,?,?,?,0,?,?,?,0,?
615589,?,?,?,0,1,0,?,0,?,?,0,?,?,0,?,?,?,0,0,?,?,?,?,?,?,?,?,?,0,?,0,?,?,?,1,?,?
166624,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?
670166,0,0,0,?,?,?,0,?,0,0,?,1,0,?,0,0,1,?,?,0,?,0,0,0,?,0,1,?,?,0,?,0,?,?,?,0,0
655457,0,0,0,?,?,?,1,?,0,0,?,0,0,?,1,1,1,?,?,0,?,0,0,0,?,0,1,?,?,0,?,0,?,?,?,0,0
652538,?,?,?,1,1,1,?,1,?,?,1,?,?,1,?,?,?,1,1,?,0,?,?,?,1,?,?,1,1,?,1,?,1,1,1,?,?
667463,?,?,0,?,?,?,0,?,0,?,?,?,0,?,0,0,1,?,?,0,?,?,0,?,?,0,0,?,?,0,?,?,?,?,?,0,?
680837,1,1,1,?,?,?,1,?,1,1,?,1,1,?,1,1,1,?,?,1,?,1,1,1,?,?,1,?,?,1,?,0,?,?,?,1,1
706185,?,?,?,?,0,1,?,1,?,?,0,?,?,1,?,?,?,1,0,?,1,?,?,?,1,?,?,0,1,?,1,?,1,1,1,?,?
713694,1,?,0,?,?,?,1,?,0,1,?,0,1,?,1,?,1,?,?,0,?,1,1,0,?,1,1,?,?,?,?,1,?,?,?,?,1
667462,0,0,0,?,?,?,0,?,1,?,?,?,0,?,0,0,?,?,?,0,?,?,0,?,?,0,0,?,?,0,?,?,?,?,?,0,?
636373,1,0,0,?,?,?,0,?,0,0,?,0,?,?,0,0,0,?,?,1,?,1,0,1,?,0,0,?,?,?,?,0,?,?,?,0,0
645263,0,0,0,?,?,?,?,?,0,0,?,1,0,?,1,0,0,?,?,1,?,0,0,1,?,0,0,?,?,?,?,0,?,?,?,0,0
635905,0,0,0,?,?,?,?,?,0,0,?,0,1,?,0,0,0,?,?,0,?,0,0,1,?,0,0,?,?,?,?,0,?,?,?,0,?
603577,1,1,1,?,?,?,?,?,0,1,?,1,?,?,0,1,1,?,?,0,?,0,1,1,?,0,1,?,?,0,?,1,?,?,?,1,0
617384,?,1,1,?,?,?,1,?,?,1,?,?,?,?,0,1,0,?,?,?,?,0,0,1,?,0,1,?,?,0,?,0,?,?,?,1,0
673131,1,1,1,?,?,?,1,?,?,?,?,1,?,?,?,1,1,?,?,1,?,?,1,?,?,1,1,?,?,1,?,0,?,?,?,1,?
708417,0,1,0,?,?,?,0,?,0,0,?,0,0,?,0,?,1,?,?,0,?,?,0,0,?,?,0,?,?,?,?,0,?,?,?,?,0
659000,1,1,1,?,?,?,1,?,1,0,?,0,0,?,1,0,0,?,?,1,?,1,1,0,?,0,1,?,?,1,?,0,?,?,?,0,1
666299,0,1,0,?,?,?,1,?,?,1,?,1,1,?,0,?,1,?,?,?,?,1,1,0,?,?,1,?,?,1,?,1,?,?,?,1,0
683403,?,?,?,1,0,0,?,0,?,?,0,?,?,0,?,?,?,0,0,?,0,?,?,?,1,?,?,?,?,?,0,?,0,?,0,?,?
659754,1,1,0,?,?,?,0,?,0,0,?,0,?,?,0,0,0,?,?,1,?,1,1,0,?,0,0,?,?,1,?,0,?,?,?,0,0
708092,1,1,0,?,?,?,1,?,1,1,?,1,0,?,0,0,1,?,?,1,?,1,?,1,?,0,1,?,?,1,?,0,?,?,?,0,1
50188,?,?,?,0,0,1,?,0,?,?,0,?,?,0,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,0,?,0,0,?,?,?
618927,0,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,0,?,?,?,?,?,?,?,?,?,?
716277,?,?,?,0,0,0,?,0,?,?,0,?,?,0,?,?,?,0,1,?,0,?,?,?,0,?,?,?,0,?,0,?,?,?,?,?,?
691896,?,?,?,0,0,1,?,0,?,?,0,?,?,0,?,?,?,0,0,?,0,?,?,?,1,?,?,0,0,?,0,?,0,0,0,?,?
638738,0,0,?,?,?,?,0,?,?,?,?,0,0,?,0,0,0,?,?,0,?,0,0,0,?,1,0,?,?,0,?,0,?,?,?,0,0
695806,0,1,0,?,?,?,1,?,0,1,?,1,0,?,0,1,1,?,?,0,?,1,0,1,?,0,1,?,?,0,?,0,?,?,?,0,1
695674,?,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,1,?,?,0,?,?,1,?,0,1,?,?,?
642284,1,1,1,?,?,?,1,?,1,1,?,1,1,?,1,1,1,?,?,0,?,1,1,1,?,1,1,?,?,1,?,1,?,?,?,1,1
637704,0,0,0,?,?,?,0,?,0,0,?,0,0,?,0,0,1,?,?,0,?,0,?,0,?,?,0,?,?,0,?,0,?,?,?,0,0
706829,1,1,1,?,?,?,1,?,1,1,?,1,0,?,1,1,1,?,?,1,?,0,0,0,?,1,1,?,?,1,?,0,?,?,?,1,1
671470,?,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,0,0,?,?,?,?,?,0,?,?,0,0,?,1,?,0,0,?,?,?
655249,?,?,?,1,0,0,?,0,?,?,0,?,?,1,?,?,?,1,1,?,1,?,?,?,0,?,?,1,1,?,1,?,1,1,1,?,?
691824,0,?,?,?,?,?,0,?,?,?,?,?,0,?,?,?,0,?,?,?,?,1,?,0,?,?,0,?,?,0,?,?,?,?,?,?,0
649417,?,?,?,1,0,1,?,?,?,?,1,?,?,1,?,?,?,0,1,?,0,?,?,?,1,?,?,1,1,?,?,?,0,1,0,?,?
681703,?,?,?,1,1,0,?,1,?,?,1,?,?,0,?,?,?,1,1,?,0,?,?,?,0,?,?,1,0,?,1,?,1,0,0,?,?
709097,1,1,1,?,?,?,1,?,1,1,?,1,1,?,1,?,1,?,?,1,?,1,1,1,?,0,1,?,?,1,?,1,?,?,?,1,1
712686,?,?,?,?,0,0,?,?,?,?,0,?,?,?,?,?,?,0,?,?,0,?,?,?,1,?,?,?,0,?,?,?,0,0,0,?,?
718703,0,1,1,?,?,?,1,?,0,1,?,1,1,?,1,1,1,?,?,1,?,0,1,1,?,?,1,?,?,1,?,1,?,?,?,1,1
707086,0,0,0,?,?,?,0,?,0,0,?,1,0,?,0,0,1,?,?,0,?,0,0,1,?,0,0,?,?,0,?,0,?,?,?,0,0
672121,?,1,1,?,?,?,1,?,1,0,?,1,1,?,1,1,1,?,?,1,?,1,1,1,?,1,1,?,?,0,?,1,?,?,?,1,1
688894,?,0,?,?,?,?,0,?,?,0,?,0,0,?,?,0,0,?,?,?,?,?,1,0,?,?,0,?,?,0,?,?,?,?,?,?,0
669710,0,0,0,?,?,?,0,?,0,0,?,0,1,?,1,0,0,?,?,0,?,0,0,0,?,0,0,?,?,0,?,0,?,?,?,1,0
699801,?,?,?,1,0,0,?,0,?,?,0,?,?,1,?,?,?,0,0,?,0,?,?,?,0,?,?,?,?,?,?,?,0,0,0,?,?
685994,?,?,?,0,0,0,?,0,?,?,0,?,?,0,?,?,?,0,?,?,?,?,?,?,0,?,?,0,0,?,0,?,?,1,0,?,?
382050,?,?,?,1,1,1,?,1,?,?,1,?,?,1,?,?,?,1,1,?,1,?,?,?,1,?,?,0,1,?,0,?,1,1,1,?,?
656208,?,?,?,1,1,1,?,1,?,?,1,?,?,1,?,?,?,1,1,?,1,?,?,?,1,?,?,0,1,?,1,?,1,1,1,?,?
670004,?,?,?,1,?,0,?,?,?,?,0,?,?,0,?,?,?,0,?,?,?,?,?,?,?,?,?,0,0,?,0,?,?,0,0,?,?
690618,?,?,?,1,0,?,?,0,?,?,?,?,?,1,?,?,?,0,0,?,?,?,?,?,0,?,?,0,0,?,0,?,0,0,?,?,?
652765,?,?,?,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?
650958,?,?,?,?,?,?,?,0,?,?,1,?,?,1,?,?,?,1,1,?,?,?,?,?,0,?,?,0,1,?,1,?,0,1,1,?,?
606397,1,0,1,?,?,?,1,?,0,1,?,1,1,?,1,1,1,?,?,1,?,1,1,1,?,1,1,?,?,0,?,1,?,?,?,1,1
77541,0,?,?,?,?,?,?,?,0,?,?,1,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,0
704214,0,1,0,?,?,?,0,?,0,1,?,1,0,?,0,1,1,?,?,0,?,0,0,0,?,0,1,?,?,0,?,0,?,?,?,0,0
634471,?,?,?,1,1,1,?,1,?,?,1,?,?,1,?,?,?,1,1,?,1,?,?,?,1,?,?,0,1,?,1,?,1,1,1,?,?
680836,?,?,?,0,0,1,?,?,?,?,0,?,?,?,?,?,?,0,?,?,0,?,?,?,0,?,?,?,?,?,?,?,1,?,0,?,?
643436,0,0,0,?,?,?,?,?,1,0,?,?,0,?,0,?,?,?,?,?,?,0,0,0,?,0,?,?,?,0,?,0,?,?,?,?,0
716490,?,?,0,?,?,?,0,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,?,?,0,?,?,?,?,?,?,?,?,0,?
627727,?,1,?,?,?,?,1,?,1,0,?,1,1,?,?,1,1,?,?,1,?,1,1,1,?,1,1,?,?,1,?,0,?,?,?,1,1
647577,0,0,?,?,?,?,?,?,0,?,?,0,0,?,0,0,0,?,?,0,?,0,?,?,?,?,0,?,?,?,?,?,?,?,?,1,0
630333,?,?,?,0,0,1,?,0,?,?,0,?,?,0,?,?,?,0,1,?,0,?,?,?,0,?,?,0,0,?,0,?,0,0,0,?,?
674268,0,1,0,?,?,?,?,?,0,?,?,1,1,?,?,?,1,?,?,1,?,?,?,0,?,?,0,?,?,0,?,0,?,?,?,1,1
685280,?,?,?,0,0,0,?,0,?,?,0,?,?,0,?,?,?,0,1,?,?,?,?,?,?,?,?,?,0,?,0,?,0,0,?,?,?
655468,0,0,0,?,?,?,0,?,0,0,?,0,0,?,0,0,0,?,?,0,?,0,0,1,?,0,0,?,?,0,?,0,?,?,?,?,0
714383,1,1,1,?,?,?,1,?,1,1,?,1,1,?,1,0,1,?,?,1,?,1,1,1,?,1,1,?,?,1,?,0,?,?,?,1,1
710297,?,?,?,?,?,?,?,?,?,0,?,?,0,?,?,?,0,?,?,?,?,?,?,0,?,1,?,?,?,0,?,1,?,?,?,?,?
649242,?,?,?,1,0,1,?,1,?,?,0,?,?,?,?,?,?,1,0,?,0,?,?,?,0,?,?,1,0,?,0,?,0,0,0,?,?
630122,0,0,0,?,?,?,0,?,0,0,?,0,0,?,0,0,0,?,?,0,?,0,0,0,?,0,1,?,?,0,?,0,?,?,?,0,0
676591,?,?,?,1,0,?,?,1,?,?,0,?,?,1,?,?,?,0,0,?,0,?,?,?,0,?,?,?,1,?,1,?,?,0,1,?,?
698230,0,0,0,?,?,?,0,?,0,0,?,0,0,?,0,0,1,?,?,1,?,0,0,0,?,0,0,?,?,0,?,?,?,?,?,0,1
645033,0,0,0,?,?,?,0,?,0,0,?,0,0,?,1,1,0,?,?,0,?,0,0,0,?,1,0,?,?,0,?,0,?,?,?,0,0
617576,?,?,?,?,?,1,?,1,?,?,0,?,?,0,?,?,?,1,1,?,?,?,?,?,1,?,?,1,?,?,1,?,0,1,0,?,?
671335,?,?,?,0,?,?,?,0,?,?,0,?,?,1,?,?,?,1,0,?,1,?,?,?,?,?,?,?,1,?,1,?,1,1,0,?,?
707843,?,?,?,0,0,0,?,0,?,?,0,?,?,0,?,?,?,?,0,?,0,?,?,?,?,?,?,?,0,?,0,?,0,0,1,?,?
625218,?,?,?,?,1,0,?,?,?,?,1,?,?,?,?,?,?,1,1,?,1,?,?,?,0,?,?,0,?,?,?,?,0,0,?,?,?
715085,1,0,1,?,?,?,1,?,?,0,?,0,0,?,0,0,0,?,?,1,?,1,1,0,?,0,0,?,?,0,?,0,?,?,?,0,1
626778,?,?,?,1,1,0,?,1,?,?,1,?,?,1,?,?,?,1,1,?,1,?,?,?,?,?,?,1,1,?,1,?,1,1,1,?,?
679434,1,?,0,?,?,?,1,?,0,1,?,1,?,?,?,0,1,?,?,0,?,?,?,0,?,?,1,?,?,0,?,0,?,?,?,0,0
685684,0,0,0,?,?,?,0,?,0,0,?,1,1,?,1,?,1,?,?,0,?,0,0,0,?,0,0,?,?,?,?,0,?,?,?,1,0
716981,1,1,1,?,?,?,1,?,1,0,?,1,1,?,1,1,1,?,?,1,?,1,1,0,?,1,1,?,?,1,?,1,?,?,?,1,1
647710,0,0,0,?,?,?,0,?,0,0,?,1,0,?,0,0,?,?,?,0,?,0,?,0,?,?,0,?,?,0,?,0,?,?,?,0,0
678107,1,1,1,?,?,?,1,?,1,0,?,0,0,?,1,1,1,?,?,1,?,0,1,1,?,0,1,?,?,0,?,0,?,?,?,1,1
617563,1,1,?,?,?,?,1,?,0,1,?,1,1,?,1,1,1,?,?,1,?,1,?,1,?,?,1,?,?,1,?,1,?,?,?,1,1
636128,0,0,0,?,?,?,0,?,?,0,?,0,0,?,0,?,0,?,?,?,?,0,0,0,?,0,0,?,?,0,?,1,?,?,?,0,0
657715,?,?,?,?,0,0,?,0,?,?,0,?,?,0,?,?,?,0,?,?,?,?,?,?,0,?,?,?,0,?,0,?,1,0,?,?,?
692655,1,0,0,?,?,?,1,?,1,1,?,0,1,?,0,1,1,?,?,0,?,0,0,1,?,1,0,?,?,0,?,0,?,?,?,1,1
690971,?,?,?,?,0,1,?,0,?,?,1,?,?,1,?,?,?,1,1,?,1,?,?,?,1,?,?,1,0,?,1,?,1,0,1,?,?
285682,?,?,?,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?
342017,?,?,?,1,0,0,?,0,?,?,0,?,?,0,?,?,?,1,0,?,0,?,?,?,0,?,?,?,0,?,0,?,0,?,0,?,?
672342,?,0,0,?,?,?,0,?,0,1,?,0,0,?,1,1,0,?,?,1,?,0,0,0,?,0,0,?,?,?,?,0,?,?,?,?,0
720250,0,0,0,?,?,?,0,?,0,?,?,0,1,?,?,0,0,?,?,1,?,0,0,?,?,?,?,?,?,0,?,0,?,?,?,?,0
625120,?,?,?,0,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
633107,?,?,?,1,1,1,?,0,?,?,0,?,?,1,?,?,?,1,?,?,?,?,?,?,1,?,?,1,0,?,?,?,0,1,?,?,?
658493,?,?,?,?,?,1,?,0,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0,?,?,?
617569,0,0,0,?,?,?,?,?,1,?,?,?,?,?,?,0,?,?,?,0,?,0,1,0,?,?,?,?,?,1,?,?,?,?,?,?,0
715528,1,1,1,?,?,?,1,?,1,1,?,0,1,?,1,1,1,?,?,1,?,1,1,1,?,1,1,?,?,1,?,1,?,?,?,1,0
715067,?,?,?,0,1,1,?,1,?,?,?,?,?,0,?,?,?,0,0,?,0,?,?,?,1,?,?,0,1,?,1,?,1,1,1,?,?
642025,1,0,?,?,?,?,1,?,1,0,?,0,0,?,1,1,1,?,?,?,?,0,1,1,?,1,1,?,?,?,?,0,?,?,?,0,0
677666,?,?,?,0,?,0,?,0,?,?,0,?,?,0,?,?,?,0,?,?,0,?,?,?,0,?,?,?,0,?,1,?,0,1,0,?,?
684385,0,0,0,?,?,?,0,?,0,0,?,1,0,?,0,0,0,?,?,0,?,0,0,0,?,0,0,?,?,0,?,0,?,?,?,?,0
627551,0,0,0,?,?,?,?,?,0,0,?,0,0,?,0,0,0,?,?,0,?,0,1,0,?,0,0,?,?,1,?,0,?,?,?,0,0
693994,?,?,?,1,1,1,?,1,?,?,1,?,?,1,?,?,?,1,1,?,1,?,?,?,1,?,?,0,1,?,1,?,1,0,1,?,?
690764,?,?,?,0,0,1,?,0,?,?,0,?,?,0,?,?,?,0,0,?,0,?,?,?,0,?,?,0,0,?,1,?,0,0,0,?,?
645302,1,1,0,?,?,?,1,?,1,1,?,1,1,?,0,1,1,?,?,1,?,1,1,0,?,1,1,?,?,1,?,1,?,?,?,1,0
657717,1,0,0,?,?,?,1,?,1,1,?,?,1,?,0,?,0,?,?,0,?,0,?,1,?,0,0,?,?,1,?,0,?,?,?,0,1
403186,1,1,1,?,?,?,?,?,1,1,?,1,1,?,1,1,1,?,?,1,?,1,1,0,?,1,1,?,?,1,?,1,?,?,?,1,1
718380,0,0,0,?,?,?,0,?,1,0,?,?,0,?,0,1,?,?,?,?,?,0,0,1,?,1,0,?,?,0,?,0,?,?,?,?,0
721075,?,?,?,1,1,1,?,1,?,?,1,?,?,1,?,?,?,1,1,?,0,?,?,?,1,?,?,1,1,?,1,?,1,1,1,?,?
666712,?,?,?,1,1,1,?,0,?,?,1,?,?,1,?,?,?,1,1,?,1,?,?,?,1,?,?,1,1,?,1,?,?,1,1,?,?
624233,?,1,?,?,?,?,1,?,1,1,?,1,1,?,1,1,1,?,?,0,?,0,0,?,?,1,0,?,?,?,?,1,?,?,?,1,0
710021,?,?,?,1,1,1,?,1,?,?,0,?,?,0,?,?,?,1,0,?,1,?,?,?,0,?,?,1,0,?,?,?,?,1,1,?,?
664298,?,?,?,?,1,0,?,0,?,?,0,?,?,0,?,?,?,0,?,?,?,?,?,?,1,?,?,?,0,?,0,?,?,0,?,?,?
615606,?,1,?,?,?,?,1,?,1,1,?,1,1,?,?,?,1,?,?,0,?,1,1,1,?,1,1,?,?,0,?,1,?,?,?,1,0
656253,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0,?,?,1,?,0,0,?,?,?
718163,?,?,?,1,0,?,?,0,?,?,0,?,?,0,?,?,?,0,0,?,?,?,?,?,1,?,?,1,1,?,?,?,0,0,0,?,?
623990,?,?,?,1,?,0,?,0,?,?,0,?,?,1,?,?,?,0,1,?,0,?,?,?,0,?,?,0,1,?,1,?,0,?,1,?,?
167550,1,1,1,?,?,?,1,?,1,1,?,1,?,?,1,1,1,?,?,1,?,1,1,0,?,1,1,?,?,0,?,1,?,?,?,1,1
681612,1,0,0,?,?,?,1,?,0,0,?,?,0,?,0,0,0,?,?,0,?,0,0,0,?,?,0,?,?,?,?,0,?,?,?,0,0
619860,1,?,0,?,?,?,1,?,1,0,?,1,0,?,1,1,1,?,?,1,?,1,1,1,?,1,0,?,?,0,?,1,?,?,?,1,1
251691,?,?,?,1,0,0,?,0,?,?,0,?,?,0,?,?,?,0,0,?,0,?,?,?,0,?,?,0,0,?,0,?,0,0,?,?,?
69575,0,?,0,?,?,?,0,?,?,0,?,0,?,?,0,0,1,?,?,0,?,0,0,?,?,0,?,?,?,?,?,1,?,?,?,0,?
24037,?,?,?,0,0,0,?,?,?,?,0,?,?,0,?,?,?,0,0,?,1,?,?,?,?,?,?,0,0,?,0,?,?,1,0,?,?
682806,1,1,1,?,?,?,1,?,0,1,?,1,1,?,0,1,1,?,?,1,?,1,1,1,?,?,1,?,?,1,?,1,?,?,?,1,1
662119,?,?,?,0,?,1,?,0,?,?,?,?,?,0,?,?,?,?,1,?,1,?,?,?,0,?,?,?,0,?,?,?,1,?,?,?,?
625326,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,0,?,1,0,?,?,?,?,?,?,?,?,0,?
638839,1,1,1,?,?,?,1,?,0,1,?,1,1,?,1,1,1,?,?,1,?,1,1,1,?,1,1,?,?,1,?,1,?,?,?,1,1
669709,?,?,?,0,0,1,?,0,?,?,1,?,?,1,?,?,?,1,1,?,1,?,?,?,0,?,?,1,0,?,1,?,1,1,1,?,?
702360,0,0,0,?,?,?,1,?,0,0,?,0,0,?,0,0,0,?,?,?,?,0,0,0,?,0,0,?,?,0,?,0,?,?,?,0,0
629928,1,0,0,?,?,?,1,?,0,1,?,1,0,?,1,1,1,?,?,0,?,1,1,0,?,1,1,?,?,1,?,0,?,?,?,1,0
